Circuit: Level 1 - RC step with UIC

Transient Analysis
No. of Data Rows : 11

----------------------------------------------------------------------------------------
Index   time                v(in)               v(out)              v1#branch
----------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    1.0000000000e-04    5.0000000000e+00    4.5454545455e-01   -4.5454545455e-03
       2    2.0000000000e-04    5.0000000000e+00    8.6776859504e-01   -4.1322314050e-03
       3    3.0000000000e-04    5.0000000000e+00    1.2434259955e+00   -3.7565740045e-03
       4    4.0000000000e-04    5.0000000000e+00    1.5849327232e+00   -3.4150672768e-03
       5    5.0000000000e-04    5.0000000000e+00    1.8953933847e+00   -3.1046066153e-03
       6    6.0000000000e-04    5.0000000000e+00    2.1776303497e+00   -2.8223696503e-03
       7    7.0000000000e-04    5.0000000000e+00    2.4342094088e+00   -2.5657905912e-03
       8    8.0000000000e-04    5.0000000000e+00    2.6674630990e+00   -2.3325369010e-03
       9    9.0000000000e-04    5.0000000000e+00    2.8795119081e+00   -2.1204880919e-03
      10    1.0000000000e-03    5.0000000000e+00    3.0722835529e+00   -1.9277164471e-03
