Circuit: Level 1 - current driven RC

Transient Analysis
No. of Data Rows : 11

--------------------------------------------------------------------------------
Index   time                v(out)
--------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00
       1    1.0000000000e-04    9.0909090909e-02
       2    2.0000000000e-04    1.7355371901e-01
       3    3.0000000000e-04    2.4868519910e-01
       4    4.0000000000e-04    3.1698654463e-01
       5    5.0000000000e-04    3.7907867694e-01
       6    6.0000000000e-04    4.3552606995e-01
       7    7.0000000000e-04    4.8684188177e-01
       8    8.0000000000e-04    5.3349261979e-01
       9    9.0000000000e-04    5.7590238163e-01
      10    1.0000000000e-03    6.1445671057e-01
