Circuit: Level 1 - RL step with UIC

Transient Analysis
No. of Data Rows : 51

------------------------------------------------------------------------------------------------------------
Index   time                v(in)               v(out)              v1#branch           l1#branch
------------------------------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    2.0000000000e-05    5.0000000000e+00    4.5454545455e+00   -9.0909090909e-03    9.0909090909e-03
       2    4.0000000000e-05    5.0000000000e+00    4.1322314050e+00   -1.7355371901e-02    1.7355371901e-02
       3    6.0000000000e-05    5.0000000000e+00    3.7565740045e+00   -2.4868519910e-02    2.4868519910e-02
       4    8.0000000000e-05    5.0000000000e+00    3.4150672768e+00   -3.1698654463e-02    3.1698654463e-02
       5    1.0000000000e-04    5.0000000000e+00    3.1046066153e+00   -3.7907867694e-02    3.7907867694e-02
       6    1.2000000000e-04    5.0000000000e+00    2.8223696503e+00   -4.3552606995e-02    4.3552606995e-02
       7    1.4000000000e-04    5.0000000000e+00    2.5657905912e+00   -4.8684188177e-02    4.8684188177e-02
       8    1.6000000000e-04    5.0000000000e+00    2.3325369010e+00   -5.3349261979e-02    5.3349261979e-02
       9    1.8000000000e-04    5.0000000000e+00    2.1204880919e+00   -5.7590238163e-02    5.7590238163e-02
      10    2.0000000000e-04    5.0000000000e+00    1.9277164471e+00   -6.1445671057e-02    6.1445671057e-02
      11    2.2000000000e-04    5.0000000000e+00    1.7524694974e+00   -6.4950610052e-02    6.4950610052e-02
      12    2.4000000000e-04    5.0000000000e+00    1.5931540886e+00   -6.8136918229e-02    6.8136918229e-02
      13    2.6000000000e-04    5.0000000000e+00    1.4483218987e+00   -7.1033562026e-02    7.1033562026e-02
      14    2.8000000000e-04    5.0000000000e+00    1.3166562715e+00   -7.3666874569e-02    7.3666874569e-02
      15    3.0000000000e-04    5.0000000000e+00    1.1969602468e+00   -7.6060795063e-02    7.6060795063e-02
      16    3.2000000000e-04    5.0000000000e+00    1.0881456790e+00   -7.8237086421e-02    7.8237086421e-02
      17    3.4000000000e-04    5.0000000000e+00    9.8922334450e-01   -8.0215533110e-02    8.0215533110e-02
      18    3.6000000000e-04    5.0000000000e+00    8.9929394955e-01   -8.2014121009e-02    8.2014121009e-02
      19    3.8000000000e-04    5.0000000000e+00    8.1753995413e-01   -8.3649200917e-02    8.3649200917e-02
      20    4.0000000000e-04    5.0000000000e+00    7.4321814012e-01   -8.5135637198e-02    8.5135637198e-02
      21    4.2000000000e-04    5.0000000000e+00    6.7565285466e-01   -8.6486942907e-02    8.6486942907e-02
      22    4.4000000000e-04    5.0000000000e+00    6.1422986787e-01   -8.7715402643e-02    8.7715402643e-02
      23    4.6000000000e-04    5.0000000000e+00    5.5839078897e-01   -8.8832184221e-02    8.8832184221e-02
      24    4.8000000000e-04    5.0000000000e+00    5.0762798997e-01   -8.9847440201e-02    8.9847440201e-02
      25    5.0000000000e-04    5.0000000000e+00    4.6147999089e-01   -9.0770400182e-02    9.0770400182e-02
      26    5.2000000000e-04    5.0000000000e+00    4.1952726444e-01   -9.1609454711e-02    9.1609454711e-02
      27    5.4000000000e-04    5.0000000000e+00    3.8138842222e-01   -9.2372231556e-02    9.2372231556e-02
      28    5.6000000000e-04    5.0000000000e+00    3.4671674747e-01   -9.3065665051e-02    9.3065665051e-02
      29    5.8000000000e-04    5.0000000000e+00    3.1519704316e-01   -9.3696059137e-02    9.3696059137e-02
      30    6.0000000000e-04    5.0000000000e+00    2.8654276651e-01   -9.4269144670e-02    9.4269144670e-02
      31    6.2000000000e-04    5.0000000000e+00    2.6049342410e-01   -9.4790131518e-02    9.4790131518e-02
      32    6.4000000000e-04    5.0000000000e+00    2.3681220372e-01   -9.5263755926e-02    9.5263755926e-02
      33    6.6000000000e-04    5.0000000000e+00    2.1528382157e-01   -9.5694323569e-02    9.5694323569e-02
      34    6.8000000000e-04    5.0000000000e+00    1.9571256506e-01   -9.6085748699e-02    9.6085748699e-02
      35    7.0000000000e-04    5.0000000000e+00    1.7792051369e-01   -9.6441589726e-02    9.6441589726e-02
      36    7.2000000000e-04    5.0000000000e+00    1.6174592154e-01   -9.6765081569e-02    9.6765081569e-02
      37    7.4000000000e-04    5.0000000000e+00    1.4704174685e-01   -9.7059165063e-02    9.7059165063e-02
      38    7.6000000000e-04    5.0000000000e+00    1.3367431532e-01   -9.7326513694e-02    9.7326513694e-02
      39    7.8000000000e-04    5.0000000000e+00    1.2152210484e-01   -9.7569557903e-02    9.7569557903e-02
      40    8.0000000000e-04    5.0000000000e+00    1.1047464076e-01   -9.7790507185e-02    9.7790507185e-02
      41    8.2000000000e-04    5.0000000000e+00    1.0043149160e-01   -9.7991370168e-02    9.7991370168e-02
      42    8.4000000000e-04    5.0000000000e+00    9.1301356001e-02   -9.8173972880e-02    9.8173972880e-02
      43    8.6000000000e-04    5.0000000000e+00    8.3001232728e-02   -9.8339975345e-02    9.8339975345e-02
      44    8.8000000000e-04    5.0000000000e+00    7.5455666116e-02   -9.8490886678e-02    9.8490886678e-02
      45    9.0000000000e-04    5.0000000000e+00    6.8596060106e-02   -9.8628078798e-02    9.8628078798e-02
      46    9.2000000000e-04    5.0000000000e+00    6.2360054642e-02   -9.8752798907e-02    9.8752798907e-02
      47    9.4000000000e-04    5.0000000000e+00    5.6690958765e-02   -9.8866180825e-02    9.8866180825e-02
      48    9.6000000000e-04    5.0000000000e+00    5.1537235241e-02   -9.8969255295e-02    9.8969255295e-02
      49    9.8000000000e-04    5.0000000000e+00    4.6852032037e-02   -9.9062959359e-02    9.9062959359e-02
      50    1.0000000000e-03    5.0000000000e+00    4.2592756398e-02   -9.9148144872e-02    9.9148144872e-02
