Circuit: Level 2 - RL with TSTART and TMAX

Transient Analysis
No. of Data Rows : 9

------------------------------------------------------------------------------------------------------------
Index   time                v(in)               v(out)              v1#branch           l1#branch
------------------------------------------------------------------------------------------------------------
       0    2.0000000000e-04    1.2000000000e+01    4.6769321175e+00   -3.6615339412e-01    3.6615339412e-01
       1    3.0000000000e-04    1.2000000000e+01    2.9197856963e+00   -4.5401071518e-01    4.5401071518e-01
       2    4.0000000000e-04    1.2000000000e+01    1.8228078360e+00   -5.0885960820e-01    5.0885960820e-01
       3    5.0000000000e-04    1.2000000000e+01    1.1379699583e+00   -5.4310150209e-01    5.4310150209e-01
       4    6.0000000000e-04    1.2000000000e+01    7.1042904270e-01   -5.6447854787e-01    5.6447854787e-01
       5    7.0000000000e-04    1.2000000000e+01    4.4351735389e-01   -5.7782413231e-01    5.7782413231e-01
       6    8.0000000000e-04    1.2000000000e+01    2.7688570059e-01   -5.8615571497e-01    5.8615571497e-01
       7    9.0000000000e-04    1.2000000000e+01    1.7285837976e-01   -5.9135708101e-01    5.9135708101e-01
       8    1.0000000000e-03    1.2000000000e+01    1.0791463550e-01   -5.9460426823e-01    5.9460426823e-01
