Circuit: Level 3 - overdamped series RLC

Transient Analysis
No. of Data Rows : 81

--------------------------------------------------------------------------------------------------------------------------------
Index   time                v(in)               v(n1)               v(out)              v1#branch           l1#branch
--------------------------------------------------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    2.5000000000e-05    1.0000000000e+01    4.1046976174e+00    2.4855968456e-01   -1.4738255957e-02    1.4738255957e-02
       2    5.0000000000e-05    1.0000000000e+01    1.9776740255e+00    7.0717818899e-01   -2.0055814936e-02    2.0055814936e-02
       3    7.5000000000e-05    1.0000000000e+01    1.4273778897e+00    1.2315058985e+00   -2.1431555276e-02    2.1431555276e-02
       4    1.0000000000e-04    1.0000000000e+01    1.5237618420e+00    1.7617499817e+00   -2.1190595395e-02    2.1190595395e-02
       5    1.2500000000e-04    1.0000000000e+01    1.8729965549e+00    2.2739616370e+00   -2.0317508613e-02    2.0317508613e-02
       6    1.5000000000e-04    1.0000000000e+01    2.3091212758e+00    2.7593328024e+00   -1.9227196810e-02    1.9227196810e-02
       7    1.7500000000e-04    1.0000000000e+01    2.7629553878e+00    3.2154006829e+00   -1.8092611531e-02    1.8092611531e-02
       8    2.0000000000e-04    1.0000000000e+01    3.2063724471e+00    3.6423144762e+00   -1.6984068882e-02    1.6984068882e-02
       9    2.2500000000e-04    1.0000000000e+01    3.6286143174e+00    4.0412538928e+00   -1.5928464206e-02    1.5928464206e-02
      10    2.5000000000e-04    1.0000000000e+01    4.0262268150e+00    4.4137621335e+00   -1.4934432962e-02    1.4934432962e-02
      11    2.7500000000e-04    1.0000000000e+01    4.3987861882e+00    4.7614672934e+00   -1.4003034529e-02    1.4003034529e-02
      12    3.0000000000e-04    1.0000000000e+01    4.7470872252e+00    5.0859685727e+00   -1.3132281937e-02    1.3132281937e-02
      13    3.2500000000e-04    1.0000000000e+01    5.0723775940e+00    5.3887922438e+00   -1.2319056015e-02    1.2319056015e-02
      14    3.5000000000e-04    1.0000000000e+01    5.3760366790e+00    5.6713769854e+00   -1.1559908303e-02    1.1559908303e-02
      15    3.7500000000e-04    1.0000000000e+01    5.6594431039e+00    5.9350714307e+00   -1.0851392240e-02    1.0851392240e-02
      16    4.0000000000e-04    1.0000000000e+01    5.9239222044e+00    6.1811366555e+00   -1.0190194489e-02    1.0190194489e-02
      17    4.2500000000e-04    1.0000000000e+01    6.1707272366e+00    6.4107505307e+00   -9.5731819084e-03    9.5731819084e-03
      18    4.5000000000e-04    1.0000000000e+01    6.4010346929e+00    6.6250126467e+00   -8.9974132678e-03    8.9974132678e-03
      19    4.7500000000e-04    1.0000000000e+01    6.6159453933e+00    6.8249492758e+00   -8.4601365168e-03    8.4601365168e-03
      20    5.0000000000e-04    1.0000000000e+01    6.8164878275e+00    7.0115181592e+00   -7.9587804312e-03    7.9587804312e-03
      21    5.2500000000e-04    1.0000000000e+01    7.0036222606e+00    7.1856130393e+00   -7.4909443486e-03    7.4909443486e-03
      22    5.5000000000e-04    1.0000000000e+01    7.1782449835e+00    7.3480679186e+00   -7.0543875413e-03    7.0543875413e-03
      23    5.7500000000e-04    1.0000000000e+01    7.3411924588e+00    7.4996610443e+00   -6.6470188530e-03    6.6470188530e-03
      24    6.0000000000e-04    1.0000000000e+01    7.4932452646e+00    7.6411186329e+00   -6.2668868384e-03    6.2668868384e-03
      25    6.2500000000e-04    1.0000000000e+01    7.6351318071e+00    7.7731183468e+00   -5.9121704822e-03    5.9121704822e-03
      26    6.5000000000e-04    1.0000000000e+01    7.7675317986e+00    7.8962925407e+00   -5.5811705036e-03    5.5811705036e-03
      27    6.7500000000e-04    1.0000000000e+01    7.8910795088e+00    8.0112312900e+00   -5.2723012279e-03    5.2723012279e-03
      28    7.0000000000e-04    1.0000000000e+01    8.0063668017e+00    8.1184852176e+00   -4.9840829957e-03    4.9840829957e-03
      29    7.2500000000e-04    1.0000000000e+01    8.1139459696e+00    8.2185681319e+00   -4.7151350761e-03    4.7151350761e-03
      30    7.5000000000e-04    1.0000000000e+01    8.2143323785e+00    8.3119594877e+00   -4.4641690537e-03    4.4641690537e-03
      31    7.7500000000e-04    1.0000000000e+01    8.3080069374e+00    8.3991066838e+00   -4.2299826564e-03    4.2299826564e-03
      32    8.0000000000e-04    1.0000000000e+01    8.3954184016e+00    8.4804272055e+00   -4.0114539961e-03    4.0114539961e-03
      33    8.2500000000e-04    1.0000000000e+01    8.4769855223e+00    8.5563106251e+00   -3.8075361942e-03    3.8075361942e-03
      34    8.5000000000e-04    1.0000000000e+01    8.5530990534e+00    8.6271204681e+00   -3.6172523665e-03    3.6172523665e-03
      35    8.7500000000e-04    1.0000000000e+01    8.6241236226e+00    8.6931959546e+00   -3.4396909436e-03    3.4396909436e-03
      36    9.0000000000e-04    1.0000000000e+01    8.6903994786e+00    8.7548536243e+00   -3.2740013036e-03    3.2740013036e-03
      37    9.2500000000e-04    1.0000000000e+01    8.7522441211e+00    8.8123888531e+00   -3.1193896973e-03    3.1193896973e-03
      38    9.5000000000e-04    1.0000000000e+01    8.8099538217e+00    8.8660772681e+00   -2.9751154458e-03    2.9751154458e-03
      39    9.7500000000e-04    1.0000000000e+01    8.8638050432e+00    8.9161760677e+00   -2.8404873919e-03    2.8404873919e-03
      40    1.0000000000e-03    1.0000000000e+01    8.9140557641e+00    8.9629252542e+00   -2.7148605897e-03    2.7148605897e-03
      41    1.0250000000e-03    1.0000000000e+01    8.9609467145e+00    9.0065487832e+00   -2.5976332139e-03    2.5976332139e-03
      42    1.0500000000e-03    1.0000000000e+01    9.0047025289e+00    9.0472556367e+00   -2.4882436777e-03    2.4882436777e-03
      43    1.0750000000e-03    1.0000000000e+01    9.0455328232e+00    9.0852408239e+00   -2.3861679420e-03    2.3861679420e-03
      44    1.1000000000e-03    1.0000000000e+01    9.0836331980e+00    9.1206863159e+00   -2.2909170051e-03    2.2909170051e-03
      45    1.1250000000e-03    1.0000000000e+01    9.1191861761e+00    9.1537619171e+00   -2.2020345598e-03    2.2020345598e-03
      46    1.1500000000e-03    1.0000000000e+01    9.1523620768e+00    9.1846260787e+00   -2.1190948079e-03    2.1190948079e-03
      47    1.1750000000e-03    1.0000000000e+01    9.1833198320e+00    9.2134266579e+00   -2.0417004201e-03    2.0417004201e-03
      48    1.2000000000e-03    1.0000000000e+01    9.2122077470e+00    9.2403016262e+00   -1.9694806324e-03    1.9694806324e-03
      49    1.2250000000e-03    1.0000000000e+01    9.2391642118e+00    9.2653797301e+00   -1.9020894704e-03    1.9020894704e-03
      50    1.2500000000e-03    1.0000000000e+01    9.2643183635e+00    9.2887811083e+00   -1.8392040914e-03    1.8392040914e-03
      51    1.2750000000e-03    1.0000000000e+01    9.2877907048e+00    9.3106178669e+00   -1.7805232381e-03    1.7805232381e-03
      52    1.3000000000e-03    1.0000000000e+01    9.3096936819e+00    9.3309946166e+00   -1.7257657953e-03    1.7257657953e-03
