Circuit: Level 3 - underdamped series RLC

Transient Analysis
No. of Data Rows : 101

--------------------------------------------------------------------------------------------------------------------------------
Index   time                v(in)               v(n1)               v(out)              v1#branch           l1#branch
--------------------------------------------------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    2.0000000000e-05    5.0000000000e+00    4.8072975426e+00    1.2136873986e-01   -9.6351228692e-03    9.6351228692e-03
       2    4.0000000000e-05    5.0000000000e+00    4.6313712623e+00    4.2498923230e-01   -1.8431436887e-02    1.8431436887e-02
       3    6.0000000000e-05    5.0000000000e+00    4.4781826004e+00    8.8993424346e-01   -2.6090869980e-02    2.6090869980e-02
       4    8.0000000000e-05    5.0000000000e+00    4.3525130052e+00    1.4900891276e+00   -3.2374349742e-02    3.2374349742e-02
       5    1.0000000000e-04    5.0000000000e+00    4.2578383781e+00    2.1954234864e+00   -3.7108081094e-02    3.7108081094e-02
       6    1.2000000000e-04    5.0000000000e+00    4.1962603564e+00    2.9733502710e+00   -4.0186982179e-02    4.0186982179e-02
       7    1.4000000000e-04    5.0000000000e+00    4.1684942255e+00    3.7901153388e+00   -4.1575288723e-02    4.1575288723e-02
       8    1.6000000000e-04    5.0000000000e+00    4.1739110783e+00    4.6121621705e+00   -4.1304446086e-02    4.1304446086e-02
       9    1.8000000000e-04    5.0000000000e+00    4.2106298561e+00    5.4074201973e+00   -3.9468507194e-02    3.9468507194e-02
      10    2.0000000000e-04    5.0000000000e+00    4.2756531993e+00    6.1464707436e+00   -3.6217340036e-02    3.6217340036e-02
      11    2.2000000000e-04    5.0000000000e+00    4.3650396428e+00    6.8035516375e+00   -3.1748017859e-02    3.1748017859e-02
      12    2.4000000000e-04    5.0000000000e+00    4.4741036659e+00    7.3573697502e+00   -2.6294816707e-02    2.6294816707e-02
      13    2.6000000000e-04    5.0000000000e+00    4.5976344510e+00    7.7916997018e+00   -2.0118277450e-02    2.0118277450e-02
      14    2.8000000000e-04    5.0000000000e+00    4.7301239480e+00    8.0957563402e+00   -1.3493802600e-02    1.3493802600e-02
      15    3.0000000000e-04    5.0000000000e+00    4.8659949491e+00    8.2643379792e+00   -6.7002525451e-03    6.7002525451e-03
      16    3.2000000000e-04    5.0000000000e+00    4.9998203516e+00    8.2977464000e+00   -8.9824198068e-06    8.9824198068e-06
      17    3.4000000000e-04    5.0000000000e+00    5.1265255683e+00    8.2014979561e+00    6.3262784146e-03   -6.3262784146e-03
      18    3.6000000000e-04    5.0000000000e+00    5.2415671035e+00    7.9858474822e+00    1.2078355173e-02   -1.2078355173e-02
      19    3.8000000000e-04    5.0000000000e+00    5.3410815861e+00    7.6651528550e+00    1.7054079306e-02   -1.7054079306e-02
      20    4.0000000000e-04    5.0000000000e+00    5.4220009826e+00    7.2571128180e+00    2.1100049130e-02   -2.1100049130e-02
      21    4.2000000000e-04    5.0000000000e+00    5.4821312345e+00    6.7819139421e+00    2.4106561725e-02   -2.4106561725e-02
      22    4.4000000000e-04    5.0000000000e+00    5.5201931219e+00    6.2613243029e+00    2.6009656093e-02   -2.6009656093e-02
      23    4.6000000000e-04    5.0000000000e+00    5.5358256735e+00    5.7177716231e+00    2.6791283673e-02   -2.6791283673e-02
      24    4.8000000000e-04    5.0000000000e+00    5.5295538789e+00    5.1734423298e+00    2.6477693947e-02   -2.6477693947e-02
      25    5.0000000000e-04    5.0000000000e+00    5.5027237497e+00    4.6494353280e+00    2.5136187487e-02   -2.5136187487e-02
      26    5.2000000000e-04    5.0000000000e+00    5.4574088866e+00    4.1650004775e+00    2.2870444328e-02   -2.2870444328e-02
      27    5.4000000000e-04    5.0000000000e+00    5.3962936029e+00    3.7368869659e+00    1.9814680145e-02   -1.9814680145e-02
      28    5.6000000000e-04    5.0000000000e+00    5.3225383080e+00    3.3788212556e+00    1.6126915401e-02   -1.6126915401e-02
      29    5.8000000000e-04    5.0000000000e+00    5.2396332506e+00    3.1011282745e+00    1.1981662531e-02   -1.1981662531e-02
      30    6.0000000000e-04    5.0000000000e+00    5.1512468687e+00    2.9105032920e+00    7.5623434332e-03   -7.5623434332e-03
      31    6.2000000000e-04    5.0000000000e+00    5.0610748839e+00    2.8099357144e+00    3.0537441963e-03   -3.0537441963e-03
      32    6.4000000000e-04    5.0000000000e+00    4.9726959423e+00    2.7987800979e+00   -1.3652028866e-03    1.3652028866e-03
      33    6.6000000000e-04    5.0000000000e+00    4.8894390552e+00    2.8729642135e+00   -5.5280472376e-03    5.5280472376e-03
      34    6.8000000000e-04    5.0000000000e+00    4.8142673771e+00    3.0253192123e+00   -9.2866311458e-03    9.2866311458e-03
      35    7.0000000000e-04    5.0000000000e+00    4.7496819908e+00    3.2460129664e+00   -1.2515900460e-02    1.2515900460e-02
      36    7.2000000000e-04    5.0000000000e+00    4.6976484180e+00    3.5230646220e+00   -1.5117579098e-02    1.5117579098e-02
      37    7.4000000000e-04    5.0000000000e+00    4.6595475514e+00    3.8429163668e+00   -1.7022622430e-02    1.7022622430e-02
      38    7.6000000000e-04    5.0000000000e+00    4.6361516772e+00    4.1910374077e+00   -1.8192416142e-02    1.8192416142e-02
      39    7.8000000000e-04    5.0000000000e+00    4.6276252526e+00    4.5525351701e+00   -1.8618737372e-02    1.8618737372e-02
      40    8.0000000000e-04    5.0000000000e+00    4.6335491605e+00    4.9127497059e+00   -1.8322541977e-02    1.8322541977e-02
      41    8.2000000000e-04    5.0000000000e+00    4.6529663203e+00    5.2578091613e+00   -1.7351683983e-02    1.7351683983e-02
      42    8.4000000000e-04    5.0000000000e+00    4.6844458153e+00    5.5751267723e+00   -1.5777709235e-02    1.5777709235e-02
      43    8.6000000000e-04    5.0000000000e+00    4.7261621214e+00    5.8538231082e+00   -1.3691893928e-02    1.3691893928e-02
      44    8.8000000000e-04    5.0000000000e+00    4.7759856133e+00    6.0850609883e+00   -1.1200719336e-02    1.1200719336e-02
      45    9.0000000000e-04    5.0000000000e+00    4.8315802759e+00    6.2622845161e+00   -8.4209862046e-03    8.4209862046e-03
      46    9.2000000000e-04    5.0000000000e+00    4.8905044802e+00    6.3813578111e+00   -5.4747759906e-03    5.4747759906e-03
      47    9.4000000000e-04    5.0000000000e+00    4.9503107680e+00    6.4406031227e+00   -2.4844616006e-03    2.4844616006e-03
      48    9.6000000000e-04    5.0000000000e+00    5.0086408365e+00    6.4407419221e+00    4.3204182632e-04   -4.3204182632e-04
      49    9.8000000000e-04    5.0000000000e+00    5.0633122888e+00    6.3847461352e+00    3.1656144414e-03   -3.1656144414e-03
      50    1.0000000000e-03    5.0000000000e+00    5.1123942087e+00    6.2776098016e+00    5.6197104370e-03   -5.6197104370e-03
      51    1.0200000000e-03    5.0000000000e+00    5.1542691994e+00    6.1260540012e+00    7.7134599717e-03   -7.7134599717e-03
      52    1.0400000000e-03    5.0000000000e+00    5.1876801671e+00    5.9381798246e+00    9.3840083527e-03   -9.3840083527e-03
