Circuit: Level 3 - three stage RC ladder

Transient Analysis
No. of Data Rows : 39

--------------------------------------------------------------------------------------------------------------------------------
Index   time                v(src)              v(n1)               v(n2)               v(out)              v1#branch
--------------------------------------------------------------------------------------------------------------------------------
       0    1.0000000000e-04    5.0000000000e+00    8.5633620987e-01    8.7481867754e-02    6.7576254470e-03   -8.2873275803e-03
       1    1.5000000000e-04    5.0000000000e+00    1.2030150788e+00    1.7428728203e-01    1.8925952969e-02   -7.5939698423e-03
       2    2.0000000000e-04    5.0000000000e+00    1.5065701021e+00    2.7922447564e-01    3.8899894194e-02   -6.9868597958e-03
       3    2.5000000000e-04    5.0000000000e+00    1.7735916805e+00    3.9660389225e-01    6.7162057062e-02   -6.4528166389e-03
       4    3.0000000000e-04    5.0000000000e+00    2.0095425746e+00    5.2206369773e-01    1.0368873218e-01   -5.9809148507e-03
       5    3.5000000000e-04    5.0000000000e+00    2.2189651952e+00    6.5227757276e-01    1.4811311547e-01   -5.5620696096e-03
       6    4.0000000000e-04    5.0000000000e+00    2.4056488538e+00    7.8472559501e-01    1.9984674463e-01   -5.1887022924e-03
       7    4.5000000000e-04    5.0000000000e+00    2.5727649743e+00    9.1751470567e-01    2.5816891013e-01   -4.8544700514e-03
       8    5.0000000000e-04    5.0000000000e+00    2.7229766307e+00    1.0492381331e+00    3.2229162004e-01   -4.5540467385e-03
       9    5.5000000000e-04    5.0000000000e+00    2.8585274816e+00    1.1788654126e+00    3.9140599302e-01   -4.2829450369e-03
      10    6.0000000000e-04    5.0000000000e+00    2.9813141424e+00    1.3056564257e+00    4.6471462196e-01   -4.0373717152e-03
      11    6.5000000000e-04    5.0000000000e+00    3.0929452231e+00    1.4290942861e+00    5.4145341261e-01   -3.8141095539e-03
      12    7.0000000000e-04    5.0000000000e+00    3.1947896073e+00    1.5488330078e+00    6.2090559208e-01   -3.6104207854e-03
      13    7.5000000000e-04    5.0000000000e+00    3.2880160370e+00    1.6646567576e+00    7.0240995314e-01   -3.4239679260e-03
      14    8.0000000000e-04    5.0000000000e+00    3.3736256543e+00    1.7764481817e+00    7.8536491120e-01   -3.2527486915e-03
      15    8.5000000000e-04    5.0000000000e+00    3.4524788271e+00    1.8841638344e+00    8.6922957243e-01   -3.0950423457e-03
      16    9.0000000000e-04    5.0000000000e+00    3.5253173251e+00    1.9878151594e+00    9.5352271813e-01   -2.9493653499e-03
      17    9.5000000000e-04    5.0000000000e+00    3.5927827019e+00    2.0874538099e+00    1.0378203848e+00   -2.8144345963e-03
      18    1.0000000000e-03    5.0000000000e+00    3.6554315788e+00    2.1831603531e+00    1.1217525452e+00   -2.6891368424e-03
      19    1.0500000000e-03    5.0000000000e+00    3.7137483867e+00    2.2750356128e+00    1.2049992626e+00   -2.5725032266e-03
      20    1.1000000000e-03    5.0000000000e+00    3.7681560206e+00    2.3631940642e+00    1.2872865890e+00   -2.4636879588e-03
      21    1.1500000000e-03    5.0000000000e+00    3.8190247737e+00    2.4477588236e+00    1.3683823996e+00   -2.3619504527e-03
      22    1.2000000000e-03    5.0000000000e+00    3.8666798506e+00    2.5288578734e+00    1.4480922991e+00   -2.2666402987e-03
      23    1.2500000000e-03    5.0000000000e+00    3.9114077032e+00    2.6066212436e+00    1.5262556899e+00   -2.1771845936e-03
      24    1.3000000000e-03    5.0000000000e+00    3.9534613875e+00    2.6811789308e+00    1.6027420603e+00   -2.0930772250e-03
      25    1.3500000000e-03    5.0000000000e+00    3.9930651068e+00    2.7526593836e+00    1.6774475282e+00   -2.0138697864e-03
      26    1.4000000000e-03    5.0000000000e+00    4.0304180729e+00    2.8211884227e+00    1.7502916543e+00   -1.9391638542e-03
      27    1.4500000000e-03    5.0000000000e+00    4.0656977974e+00    2.8868884923e+00    1.8212145315e+00   -1.8686044051e-03
      28    1.5000000000e-03    5.0000000000e+00    4.0990629040e+00    2.9498781627e+00    1.8901741444e+00   -1.8018741919e-03
      29    1.5500000000e-03    5.0000000000e+00    4.1306555366e+00    3.0102718212e+00    1.9571439889e+00   -1.7386889269e-03
      30    1.6000000000e-03    5.0000000000e+00    4.1606034267e+00    3.0681795060e+00    2.0221109374e+00   -1.6787931465e-03
      31    1.6500000000e-03    5.0000000000e+00    4.1890216729e+00    3.1237068432e+00    2.0850733341e+00   -1.6219566542e-03
      32    1.7000000000e-03    5.0000000000e+00    4.2160142740e+00    3.1769550609e+00    2.1460393004e+00   -1.5679714521e-03
      33    1.7500000000e-03    5.0000000000e+00    4.2416754545e+00    3.2280210571e+00    2.2050252364e+00   -1.5166490911e-03
      34    1.8000000000e-03    5.0000000000e+00    4.2660908123e+00    3.2769975069e+00    2.2620544967e+00   -1.4678183755e-03
      35    1.8500000000e-03    5.0000000000e+00    4.2893383139e+00    3.3239729940e+00    2.3171562268e+00   -1.4213233721e-03
      36    1.9000000000e-03    5.0000000000e+00    4.3114891600e+00    3.3690321600e+00    2.3703643428e+00   -1.3770216800e-03
      37    1.9500000000e-03    5.0000000000e+00    4.3326085383e+00    3.4122558617e+00    2.4217166396e+00   -1.3347829234e-03
      38    2.0000000000e-03    5.0000000000e+00    4.3527562815e+00    3.4537213338e+00    2.4712540132e+00   -1.2944874370e-03
