Circuit: Level 3 - dual RLC ladder

Transient Analysis
No. of Data Rows : 101

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   time                v(src)              v(n1)               v(n2)               v(n3)               v(out)              v1#branch           l1#branch           l2#branch
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    1.0000000000e-05    5.0000000000e+00    4.7590013250e+00    7.2779802405e-02    7.1523275843e-02    3.2496778975e-04   -2.4099867503e-02    2.4099867503e-02    8.3768437458e-05
       2    2.0000000000e-05    5.0000000000e+00    4.5366105873e+00    2.5932643184e-01    2.5169934661e-01    3.1681254372e-03   -4.6338941273e-02    4.6338941273e-02    5.0847234853e-04
       3    3.0000000000e-05    5.0000000000e+00    4.3370763611e+00    5.4659582005e-01    5.2396217512e-01    1.2891548929e-02   -6.6292363888e-02    6.6292363888e-02    1.5089096617e-03
       4    4.0000000000e-05    5.0000000000e+00    4.1637213312e+00    9.1868991342e-01    8.6975930679e-01    3.5334227829e-02   -8.3627866878e-02    8.3627866878e-02    3.2620404423e-03
       5    5.0000000000e-05    5.0000000000e+00    4.0188717882e+00    1.3576520203e+00    1.2694407826e+00    7.7088849071e-02   -9.8112821178e-02    9.8112821178e-02    5.8807491776e-03
       6    6.0000000000e-05    5.0000000000e+00    3.9038305227e+00    1.8443035997e+00    1.7031299456e+00    1.4481081435e-01   -1.0961694773e-01    1.0961694773e-01    9.4115769338e-03
       7    7.0000000000e-05    5.0000000000e+00    3.8188918248e+00    2.3590818834e+00    2.1515390329e+00    2.4459266816e-01   -1.1811081752e-01    1.1811081752e-01    1.3836190036e-02
       8    8.0000000000e-05    5.0000000000e+00    3.7633954651e+00    2.8828405851e+00    2.5966976897e+00    3.8143085361e-01   -1.2366045349e-01    1.2366045349e-01    1.9076193028e-02
       9    9.0000000000e-05    5.0000000000e+00    3.7358149772e+00    3.3975803453e+00    3.0225688496e+00    5.5880472370e-01   -1.2641850228e-01    1.2641850228e-01    2.5000766378e-02
      10    1.0000000000e-04    5.0000000000e+00    3.7338743288e+00    3.8870811764e+00    3.4155334205e+00    7.7838040315e-01   -1.2661256712e-01    1.2661256712e-01    3.1436517065e-02
      11    1.1000000000e-04    5.0000000000e+00    3.7546861989e+00    4.3374156451e+00    3.7647325321e+00    1.0398447929e+00   -1.2453138011e-01    1.2453138011e-01    3.8178874201e-02
      12    1.2000000000e-04    5.0000000000e+00    3.7949045767e+00    4.7373284971e+00    4.0622633671e+00    1.3408680745e+00   -1.2050954233e-01    1.2050954233e-01    4.5004341997e-02
      13    1.3000000000e-04    5.0000000000e+00    3.8508842682e+00    5.0784755375e+00    4.3032314897e+00    1.6771867997e+00   -1.1491157318e-01    1.1491157318e-01    5.1682936524e-02
      14    1.4000000000e-04    5.0000000000e+00    3.9188401080e+00    5.3555214784e+00    4.4856688153e+00    2.0427942844e+00   -1.0811598920e-01    1.0811598920e-01    5.7990177541e-02
      15    1.5000000000e-04    5.0000000000e+00    3.9949992042e+00    5.5661028601e+00    4.6103316959e+00    2.4302207386e+00   -1.0050007958e-01    1.0050007958e-01    6.3718077612e-02
      16    1.6000000000e-04    5.0000000000e+00    4.0757403265e+00    5.7106677861e+00    4.6803978517e+00    2.8308824730e+00   -9.2425967348e-02    9.2425967348e-02    6.8684662298e-02
      17    1.7000000000e-04    5.0000000000e+00    4.1577155515e+00    5.7922088765e+00    4.7010839527e+00    3.2354776798e+00   -8.4228444852e-02    8.4228444852e-02    7.2741661582e-02
      18    1.8000000000e-04    5.0000000000e+00    4.2379504140e+00    5.8159094107e+00    4.6792074964e+00    3.6344056637e+00   -7.6204958598e-02    7.6204958598e-02    7.5780127618e-02
      19    1.9000000000e-04    5.0000000000e+00    4.3139200458e+00    5.7887250099e+00    4.6227172392e+00    4.0181869486e+00   -6.8607995418e-02    6.8607995418e-02    7.7733851379e-02
      20    2.0000000000e-04    5.0000000000e+00    4.3836000235e+00    5.7189243864e+00    4.5402159097e+00    4.3778632688e+00   -6.1639997646e-02    6.1639997646e-02    7.8580565118e-02
      21    2.1000000000e-04    5.0000000000e+00    4.4454918606e+00    5.6156127051e+00    4.4404973512e+00    4.7053589262e+00   -5.5450813937e-02    5.5450813937e-02    7.8341023596e-02
      22    2.2000000000e-04    5.0000000000e+00    4.4986241943e+00    5.4882600426e+00    4.3321177840e+00    4.9937881632e+00   -5.0137580571e-02    5.0137580571e-02    7.7076150576e-02
      23    2.3000000000e-04    5.0000000000e+00    4.5425317046e+00    5.3462554309e+00    4.2230177118e+00    5.2376968637e+00   -4.5746829536e-02    4.5746829536e-02    7.4882514608e-02
      24    2.4000000000e-04    5.0000000000e+00    4.5772146198e+00    5.1985041961e+00    4.1202073354e+00    5.4332308390e+00   -4.2278538021e-02    4.2278538021e-02    7.1886457383e-02
      25    2.5000000000e-04    5.0000000000e+00    4.6030822846e+00    5.0530829371e+00    4.0295243745e+00    5.5782269739e+00   -3.9691771539e-02    3.9691771539e-02    6.8237237505e-02
      26    2.6000000000e-04    5.0000000000e+00    4.6208846898e+00    4.9169627346e+00    3.9554691526e+00    5.6722274096e+00   -3.7911531021e-02    3.7911531021e-02    6.4099572130e-02
      27    2.7000000000e-04    5.0000000000e+00    4.6316360673e+00    4.7958072432e+00    3.9011178552e+00    5.7164205405e+00   -3.6836393275e-02    3.6836393275e-02    5.9645959196e-02
      28    2.8000000000e-04    5.0000000000e+00    4.6365346661e+00    4.6938483858e+00    3.8681112056e+00    5.7135157689e+00   -3.6346533385e-02    3.6346533385e-02    5.5049145346e-02
      29    2.9000000000e-04    5.0000000000e+00    4.6368826450e+00    4.6138386290e+00    3.8567125571e+00    5.6675615663e+00   -3.6311735502e-02    3.6311735502e-02    5.0475071460e-02
      30    3.0000000000e-04    5.0000000000e+00    4.6340096740e+00    4.5570754199e+00    3.8659266974e+00    5.5837183662e+00   -3.6599032604e-02    3.6599032604e-02    4.6076581500e-02
      31    3.1000000000e-04    5.0000000000e+00    4.6292033647e+00    4.5234904440e+00    3.8936685759e+00    5.4679991017e+00   -3.7079663528e-02    3.7079663528e-02    4.1988124542e-02
      32    3.2000000000e-04    5.0000000000e+00    4.6236490658e+00    4.5117940094e+00    3.9369697471e+00    5.3269908099e+00   -3.7635093417e-02    3.7635093417e-02    3.8321617486e-02
      33    3.3000000000e-04    5.0000000000e+00    4.6183809159e+00    4.5196631430e+00    3.9922095837e+00    5.1675706646e+00   -3.8161908406e-02    3.8161908406e-02    3.5163570622e-02
      34    3.4000000000e-04    5.0000000000e+00    4.6142453668e+00    4.5439609292e+00    4.0553582326e+00    4.9966291267e+00   -3.8575463320e-02    3.8575463320e-02    3.2573513109e-02
      35    3.5000000000e-04    5.0000000000e+00    4.6118777104e+00    4.5809742193e+00    4.1222188172e+00    4.8208116970e+00   -3.8812228957e-02    3.8812228957e-02    3.0583693472e-02
      36    3.6000000000e-04    5.0000000000e+00    4.6116914981e+00    4.6266570661e+00    4.1886574528e+00    4.6462891143e+00   -3.8830850195e-02    3.8830850195e-02    2.9199974217e-02
      37    3.7000000000e-04    5.0000000000e+00    4.6138801514e+00    4.6768680236e+00    4.2508111507e+00    4.4785638651e+00   -3.8611984864e-02    3.8611984864e-02    2.8403791530e-02
      38    3.8000000000e-04    5.0000000000e+00    4.6184295605e+00    4.7275907239e+00    4.3052655365e+00    4.3223186888e+00   -3.8157043947e-02    3.8157043947e-02    2.8155012497e-02
      39    3.9000000000e-04    5.0000000000e+00    4.6251400551e+00    4.7751287967e+00    4.3491963801e+00    4.1813104759e+00   -3.7485994488e-02    3.7485994488e-02    2.8395494440e-02
      40    4.0000000000e-04    5.0000000000e+00    4.6336558346e+00    4.8162681314e+00    4.3804711204e+00    4.0583106913e+00   -3.6634416535e-02    3.6634416535e-02    2.9053134067e-02
      41    4.1000000000e-04    5.0000000000e+00    4.6434997599e+00    4.8484015818e+00    4.3977087561e+00    3.9550913045e+00   -3.5650024005e-02    3.5650024005e-02    3.0046188381e-02
      42    4.2000000000e-04    5.0000000000e+00    4.6541113334e+00    4.8696133683e+00    4.4002985608e+00    3.8724532685e+00   -3.4588866664e-02    3.4588866664e-02    3.1287653837e-02
      43    4.3000000000e-04    5.0000000000e+00    4.6648857305e+00    4.8787225438e+00    4.3883799799e+00    3.8102929280e+00   -3.3511426947e-02    3.3511426947e-02    3.2689504261e-02
      44    4.4000000000e-04    5.0000000000e+00    4.6752118777e+00    4.8752868535e+00    4.3627877032e+00    3.7677004139e+00   -3.2478812227e-02    3.2478812227e-02    3.4166610023e-02
      45    4.5000000000e-04    5.0000000000e+00    4.6845077828e+00    4.8595700686e+00    4.3249672277e+00    3.7430831265e+00   -3.1549221723e-02    3.1549221723e-02    3.5640189393e-02
      46    4.6000000000e-04    5.0000000000e+00    4.6922516081e+00    4.8324773330e+00    4.2768671936e+00    3.7343068410e+00   -3.0774839193e-02    3.0774839193e-02    3.7040675962e-02
      47    4.7000000000e-04    5.0000000000e+00    4.6980073027e+00    4.7954641962e+00    4.2208153703e+00    3.7388467805e+00   -3.0199269727e-02    3.0199269727e-02    3.8309921726e-02
      48    4.8000000000e-04    5.0000000000e+00    4.7014439672e+00    4.7504257842e+00    4.1593854044e+00    3.7539411776e+00   -2.9855603275e-02    2.9855603275e-02    3.9402691983e-02
      49    4.9000000000e-04    5.0000000000e+00    4.7023484915e+00    4.6995729721e+00    4.0952613141e+00    3.7767403389e+00   -2.9765150846e-02    2.9765150846e-02    4.0287443866e-02
      50    5.0000000000e-04    5.0000000000e+00    4.7006313653e+00    4.6453024880e+00    4.0311062845e+00    3.8044450049e+00   -2.9936863472e-02    2.9936863472e-02    4.0946413567e-02
      51    5.1000000000e-04    5.0000000000e+00    4.6963258943e+00    4.5900676050e+00    3.9694416043e+00    3.8344287890e+00   -3.0367410574e-02    3.0367410574e-02    4.1375066717e-02
      52    5.2000000000e-04    5.0000000000e+00    4.6895813530e+00    4.5362555299e+00    3.9125406645e+00    3.8643406295e+00   -3.1041864702e-02    3.1041864702e-02    4.1580991025e-02
      53    5.3000000000e-04    5.0000000000e+00    4.6806508518e+00    4.4860767932e+00    3.8623418546e+00    3.8921844314e+00   -3.1934914816e-02    3.1934914816e-02    4.1582329244e-02
      54    5.4000000000e-04    5.0000000000e+00    4.6698748888e+00    4.4414709701e+00    3.8203830166e+00    3.9163743440e+00   -3.3012511118e-02    3.3012511118e-02    4.1405863568e-02
      55    5.5000000000e-04    5.0000000000e+00    4.6576616867e+00    4.4040319531e+00    3.7877589123e+00    3.9357653588e+00   -3.4233831328e-02    3.4233831328e-02    4.1084869390e-02
      56    5.6000000000e-04    5.0000000000e+00    4.6444654855e+00    4.3749548306e+00    3.7651019717e+00    3.9496600615e+00   -3.5553451451e-02    3.5553451451e-02    4.0656857262e-02
      57    5.7000000000e-04    5.0000000000e+00    4.6307639680e+00    4.3550052532e+00    3.7525854946e+00    3.9577933935e+00   -3.6923603201e-02    3.6923603201e-02    4.0161317240e-02
      58    5.8000000000e-04    5.0000000000e+00    4.6170359497e+00    4.3445110474e+00    3.7499474931e+00    3.9602981246e+00   -3.8296405031e-02    3.8296405031e-02    3.9637570290e-02
      59    5.9000000000e-04    5.0000000000e+00    4.6037403661e+00    4.3433748170e+00    3.7565325492e+00    3.9576544007e+00   -3.9625963390e-02    3.9625963390e-02    3.9122817851e-02
      60    6.0000000000e-04    5.0000000000e+00    4.5912974537e+00    4.3511053845e+00    3.7713484249e+00    3.9506271737e+00   -4.0870254627e-02    4.0870254627e-02    3.8650463972e-02
      61    6.1000000000e-04    5.0000000000e+00    4.5800728511e+00    4.3668652156e+00    3.7931337304e+00    3.9401955596e+00   -4.1992714893e-02    4.1992714893e-02    3.8248765682e-02
      62    6.2000000000e-04    5.0000000000e+00    4.5703651561e+00    4.3895304391e+00    3.8204327275e+00    3.9274782004e+00   -4.2963484391e-02    4.2963484391e-02    3.7939847436e-02
      63    6.3000000000e-04    5.0000000000e+00    4.5623972757e+00    4.4177597504e+00    3.8516733165e+00    3.9136585448e+00   -4.3760272430e-02    4.3760272430e-02    3.7739095598e-02
      64    6.4000000000e-04    5.0000000000e+00    4.5563117020e+00    4.4500683557e+00    3.8852444070e+00    3.8999136333e+00   -4.4368829804e-02    4.4368829804e-02    3.7654929918e-02
      65    6.5000000000e-04    5.0000000000e+00    4.5521696574e+00    4.4849031721e+00    3.9195691978e+00    3.8873495085e+00   -4.4783034257e-02    4.4783034257e-02    3.7688931617e-02
      66    6.6000000000e-04    5.0000000000e+00    4.5499538776e+00    4.5207157311e+00    3.9531713402e+00    3.8769457925e+00   -4.5004612244e-02    4.5004612244e-02    3.7836292729e-02
      67    6.7000000000e-04    5.0000000000e+00    4.5495746473e+00    4.5560296075e+00    3.9847315199e+00    3.8695113344e+00   -4.5042535268e-02    4.5042535268e-02    3.8086539168e-02
      68    6.8000000000e-04    5.0000000000e+00    4.5508785876e+00    4.5894996916e+00    4.0131326257e+00    3.8656521436e+00   -4.4912141243e-02    4.4912141243e-02    3.8424471057e-02
      69    6.9000000000e-04    5.0000000000e+00    4.5536595980e+00    4.6199612039e+00    4.0374923303e+00    3.8657521485e+00   -4.4634040198e-02    4.4634040198e-02    3.8831258242e-02
      70    7.0000000000e-04    5.0000000000e+00    4.5576713086e+00    4.6464669830e+00    4.0571825839e+00    3.8699666642e+00   -4.4232869139e-02    4.4232869139e-02    3.9285626608e-02
      71    7.1000000000e-04    5.0000000000e+00    4.5626403705e+00    4.6683122306e+00    4.0718361544e+00    3.8782278625e+00   -4.3735962948e-02    4.3735962948e-02    3.9765071746e-02
      72    7.2000000000e-04    5.0000000000e+00    4.5682799297e+00    4.6850465371e+00    4.0813409328e+00    3.8902610247e+00   -4.3172007025e-02    4.3172007025e-02    4.0247040284e-02
      73    7.3000000000e-04    5.0000000000e+00    4.5743026671e+00    4.6964736071e+00    4.0858232254e+00    3.9056099445e+00   -4.2569733286e-02    4.2569733286e-02    4.0710025451e-02
