Circuit: Level 3 - two source energy storage bridge

Transient Analysis
No. of Data Rows : 51

------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   time                v(a)                v(b)                v(n1)               v(x)                v(y)                v(z)                v1#branch           v2#branch           l1#branch           l2#branch
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    2.0000000000e-05    1.2000000000e+01    3.0000000000e+00    5.0871092095e+00    4.7700992780e-01    1.7654250370e-01    1.0569403144e-01   -6.9128907905e-02   -8.5559318070e-03    6.9128907905e-02    1.0569403144e-03
       2    4.0000000000e-05    1.2000000000e+01    3.0000000000e+00    2.6990760433e+00    1.3084115246e+00    3.6207599154e-01    2.7289976474e-01   -9.3009239567e-02   -7.9937091165e-03    9.3009239567e-02    2.7289976474e-03
       3    6.0000000000e-05    1.2000000000e+01    3.0000000000e+00    2.2486817684e+00    2.2128984396e+00    5.6241320707e-01    4.6378788735e-01   -9.7513182316e-02   -7.3866266453e-03    9.7513182316e-02    4.6378788735e-03
       4    8.0000000000e-05    1.2000000000e+01    3.0000000000e+00    2.5842160412e+00    3.0767536737e+00    7.7183585084e-01    6.6810023716e-01   -9.4157839588e-02   -6.7520125732e-03    9.4157839588e-02    6.6810023716e-03
       5    1.0000000000e-04    1.2000000000e+01    3.0000000000e+00    3.1992875620e+00    3.8596141287e+00    9.8184317125e-01    8.7726589244e-01   -8.8007124380e-02   -6.1156267538e-03    8.8007124380e-02    8.7726589244e-03
       6    1.2000000000e-04    1.2000000000e+01    3.0000000000e+00    3.8765397711e+00    4.5523811875e+00    1.1850904929e+00    1.0833615829e+00   -8.1234602289e-02   -5.4997257792e-03    8.1234602289e-02    1.0833615829e-02
       7    1.4000000000e-04    1.2000000000e+01    3.0000000000e+00    4.5272219961e+00    5.1585863912e+00    1.3764827645e+00    1.2802631695e+00   -7.4727780039e-02   -4.9197491985e-03    7.4727780039e-02    1.2802631695e-02
       8    1.6000000000e-04    1.2000000000e+01    3.0000000000e+00    5.1191166020e+00    5.6862640605e+00    1.5530613085e+00    1.4639710260e+00   -6.8808833980e-02   -4.3846627014e-03    6.8808833980e-02    1.4639710260e-02
       9    1.8000000000e-04    1.2000000000e+01    3.0000000000e+00    5.6442872900e+00    6.1445025612e+00    1.7135201472e+00    1.6323362270e+00   -6.3557127100e-02   -3.8984237963e-03    6.3557127100e-02    1.6323362270e-02
      10    2.0000000000e-04    1.2000000000e+01    3.0000000000e+00    6.1047455976e+00    6.5420589699e+00    1.8576993190e+00    1.7845952191e+00   -5.8952544024e-02   -3.4615172152e-03    5.8952544024e-02    1.7845952191e-02
