Circuit: Level 4 - diode RC clamp

Transient Analysis
No. of Data Rows : 51

----------------------------------------------------------------------------------------
Index   time                v(in)               v(out)              v1#branch
----------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    1.0000000000e-05    1.5000000000e+00    2.9639800041e-02   -1.4703602000e-03
       2    2.0000000000e-05    1.5000000000e+00    5.8688064798e-02   -1.4413119352e-03
       3    3.0000000000e-05    1.5000000000e+00    8.7156599814e-02   -1.4128434002e-03
       4    4.0000000000e-05    1.5000000000e+00    1.1505697502e-01   -1.3849430250e-03
       5    5.0000000000e-05    1.5000000000e+00    1.4240052943e-01   -1.3575994706e-03
       6    6.0000000000e-05    1.5000000000e+00    1.6919837574e-01   -1.3308016243e-03
       7    7.0000000000e-05    1.5000000000e+00    1.9546140479e-01   -1.3045385952e-03
       8    8.0000000000e-05    1.5000000000e+00    2.2120028990e-01   -1.2787997101e-03
       9    9.0000000000e-05    1.5000000000e+00    2.4642549089e-01   -1.2535745091e-03
      10    1.0000000000e-04    1.5000000000e+00    2.7114725769e-01   -1.2288527423e-03
      11    1.1000000000e-04    1.5000000000e+00    2.9537563280e-01   -1.2046243672e-03
      12    1.2000000000e-04    1.5000000000e+00    3.1912045129e-01   -1.1808795487e-03
      13    1.3000000000e-04    1.5000000000e+00    3.4239133535e-01   -1.1576086647e-03
      14    1.4000000000e-04    1.5000000000e+00    3.6519767620e-01   -1.1348023238e-03
      15    1.5000000000e-04    1.5000000000e+00    3.8754858835e-01   -1.1124514117e-03
      16    1.6000000000e-04    1.5000000000e+00    4.0945280282e-01   -1.0905471972e-03
      17    1.7000000000e-04    1.5000000000e+00    4.3091842956e-01   -1.0690815704e-03
      18    1.8000000000e-04    1.5000000000e+00    4.5195244312e-01   -1.0480475569e-03
      19    1.9000000000e-04    1.5000000000e+00    4.7255959425e-01   -1.0274404057e-03
      20    2.0000000000e-04    1.5000000000e+00    4.9274015480e-01   -1.0072598452e-03
      21    2.1000000000e-04    1.5000000000e+00    5.1248534773e-01   -9.8751465227e-04
      22    2.2000000000e-04    1.5000000000e+00    5.3176833814e-01   -9.6823166186e-04
      23    2.3000000000e-04    1.5000000000e+00    5.5052716679e-01   -9.4947283321e-04
      24    2.4000000000e-04    1.5000000000e+00    5.6863452596e-01   -9.3136547404e-04
      25    2.5000000000e-04    1.5000000000e+00    5.8585080233e-01   -9.1414919767e-04
      26    2.6000000000e-04    1.5000000000e+00    6.0177053029e-01   -8.9822946971e-04
      27    2.7000000000e-04    1.5000000000e+00    6.1581209699e-01   -8.8418790301e-04
      28    2.8000000000e-04    1.5000000000e+00    6.2734681076e-01   -8.7265318924e-04
      29    2.9000000000e-04    1.5000000000e+00    6.3599615812e-01   -8.6400384188e-04
      30    3.0000000000e-04    1.5000000000e+00    6.4188270994e-01   -8.5811729006e-04
      31    3.1000000000e-04    1.5000000000e+00    6.4556194542e-01   -8.5443805458e-04
      32    3.2000000000e-04    1.5000000000e+00    6.4772045350e-01   -8.5227954650e-04
      33    3.3000000000e-04    1.5000000000e+00    6.4893534575e-01   -8.5106465425e-04
      34    3.4000000000e-04    1.5000000000e+00    6.4960230049e-01   -8.5039769951e-04
      35    3.5000000000e-04    1.5000000000e+00    6.4996328250e-01   -8.5003671750e-04
      36    3.6000000000e-04    1.5000000000e+00    6.5015713252e-01   -8.4984286748e-04
      37    3.7000000000e-04    1.5000000000e+00    6.5026078861e-01   -8.4973921139e-04
      38    3.8000000000e-04    1.5000000000e+00    6.5031608896e-01   -8.4968391104e-04
      39    3.9000000000e-04    1.5000000000e+00    6.5034555540e-01   -8.4965444460e-04
      40    4.0000000000e-04    1.5000000000e+00    6.5036124613e-01   -8.4963875387e-04
      41    4.1000000000e-04    1.5000000000e+00    6.5036959845e-01   -8.4963040155e-04
      42    4.2000000000e-04    1.5000000000e+00    6.5037404364e-01   -8.4962595636e-04
      43    4.3000000000e-04    1.5000000000e+00    6.5037640917e-01   -8.4962359083e-04
      44    4.4000000000e-04    1.5000000000e+00    6.5037766795e-01   -8.4962233205e-04
      45    4.5000000000e-04    1.5000000000e+00    6.5037833776e-01   -8.4962166224e-04
      46    4.6000000000e-04    1.5000000000e+00    6.5037869417e-01   -8.4962130583e-04
      47    4.7000000000e-04    1.5000000000e+00    6.5037888381e-01   -8.4962111619e-04
      48    4.8000000000e-04    1.5000000000e+00    6.5037898472e-01   -8.4962101528e-04
      49    4.9000000000e-04    1.5000000000e+00    6.5037903842e-01   -8.4962096158e-04
      50    5.0000000000e-04    1.5000000000e+00    6.5037906699e-01   -8.4962093301e-04
