Circuit: Level 4 - two diode RC network

Transient Analysis
No. of Data Rows : 101

--------------------------------------------------------------------------------------------------------------------------------
Index   time                v(src)              v(n1)               v(out)              v(clamp)            v1#branch
--------------------------------------------------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    1.0000000000e-05    3.0000000000e+00    7.5916224920e-01    4.8050786794e-02    1.5772150252e-12   -4.7677398953e-03
       2    2.0000000000e-05    3.0000000000e+00    8.0560028606e-01    9.5057265826e-02    1.0676705968e-11   -4.6689355616e-03
       3    3.0000000000e-05    3.0000000000e+00    8.5101769176e-01    1.4104237763e-01    5.6293894717e-11   -4.5723027835e-03
       4    4.0000000000e-05    3.0000000000e+00    8.9543691654e-01    1.8602855812e-01    2.8956975703e-10   -4.4777937946e-03
       5    5.0000000000e-05    3.0000000000e+00    9.3887991709e-01    2.3003774941e-01    1.4695420874e-09   -4.3853618785e-03
       6    6.0000000000e-05    3.0000000000e+00    9.8136816635e-01    2.7309140963e-01    7.2738634536e-09   -4.2949613482e-03
       7    7.0000000000e-05    3.0000000000e+00    1.0229226592e+00    3.1521051857e-01    3.4908787110e-08   -4.2065475335e-03
       8    8.0000000000e-05    3.0000000000e+00    1.0635639014e+00    3.5641556612e-01    1.6216831069e-07   -4.1200768055e-03
       9    9.0000000000e-05    3.0000000000e+00    1.1033118269e+00    3.9672646853e-01    7.2919822649e-07   -4.0355067512e-03
      10    1.0000000000e-04    3.0000000000e+00    1.1421854244e+00    4.3616218885e-01    3.1752008049e-06   -3.9527969694e-03
      11    1.1000000000e-04    3.0000000000e+00    1.1802012085e+00    4.7473918475e-01    1.3395003767e-05   -3.8719123224e-03
      12    1.2000000000e-04    3.0000000000e+00    1.2173672727e+00    5.1246536722e-01    5.4744471044e-05   -3.7928355899e-03
      13    1.3000000000e-04    3.0000000000e+00    1.2536612064e+00    5.4931766136e-01    2.1630436435e-04   -3.7156144544e-03
      14    1.4000000000e-04    3.0000000000e+00    1.2889542720e+00    5.8516493163e-01    8.1869251359e-04   -3.6405228256e-03
      15    1.5000000000e-04    3.0000000000e+00    1.3227996963e+00    6.1955267255e-01    2.8779314479e-03   -3.5685112845e-03
      16    1.6000000000e-04    3.0000000000e+00    1.3541551893e+00    6.5142044129e-01    8.7197427133e-03   -3.5017974695e-03
      17    1.7000000000e-04    3.0000000000e+00    1.3819517220e+00    6.7967933225e-01    2.0760520389e-02   -3.4426559106e-03
      18    1.8000000000e-04    3.0000000000e+00    1.4065471599e+00    7.0469055472e-01    3.8337803481e-02   -3.3903251918e-03
      19    1.9000000000e-04    3.0000000000e+00    1.4292358854e+00    7.2776856260e-01    5.8732243516e-02   -3.3420513077e-03
      20    2.0000000000e-04    3.0000000000e+00    1.4509304784e+00    7.4984067605e-01    8.0017867377e-02   -3.2958925992e-03
      21    2.1000000000e-04    3.0000000000e+00    1.4720284944e+00    7.7131093688e-01    1.0136622764e-01   -3.2510032033e-03
      22    2.2000000000e-04    3.0000000000e+00    1.4926770183e+00    7.9232878538e-01    1.2248424643e-01   -3.2070701739e-03
      23    2.3000000000e-04    3.0000000000e+00    1.5129302446e+00    8.1294921413e-01    1.4327735391e-01   -3.1639782029e-03
      24    2.4000000000e-04    3.0000000000e+00    1.5328106598e+00    8.3319496898e-01    1.6371851755e-01   -3.1216794473e-03
      25    2.5000000000e-04    3.0000000000e+00    1.5523301177e+00    8.5307798187e-01    1.8380310513e-01   -3.0801486858e-03
      26    2.6000000000e-04    3.0000000000e+00    1.5714968638e+00    8.7260651521e-01    2.0353384276e-01   -3.0393683750e-03
      27    2.7000000000e-04    3.0000000000e+00    1.5903178631e+00    8.9178753047e-01    2.2291583267e-01   -2.9993236956e-03
      28    2.8000000000e-04    3.0000000000e+00    1.6087995752e+00    9.1062747681e-01    2.4195489872e-01   -2.9600009038e-03
      29    2.9000000000e-04    3.0000000000e+00    1.6269482148e+00    9.2913255613e-01    2.6065703469e-01   -2.9213867770e-03
      30    3.0000000000e-04    3.0000000000e+00    1.6447698405e+00    9.4730881366e-01    2.7902821983e-01   -2.8834684244e-03
      31    3.1000000000e-04    3.0000000000e+00    1.6622703865e+00    9.6516216998e-01    2.9707435766e-01   -2.8462332202e-03
      32    3.2000000000e-04    3.0000000000e+00    1.6794556745e+00    9.8269843323e-01    3.1480125636e-01   -2.8096687777e-03
      33    3.3000000000e-04    3.0000000000e+00    1.6963314190e+00    9.9992330462e-01    3.3221462329e-01   -2.7737629384e-03
      34    3.4000000000e-04    3.0000000000e+00    1.7129032306e+00    1.0168423815e+00    3.4932006427e-01   -2.7385037647e-03
      35    3.5000000000e-04    3.0000000000e+00    1.7291766182e+00    1.0334611595e+00    3.6612308460e-01   -2.7038795357e-03
      36    3.6000000000e-04    3.0000000000e+00    1.7451569910e+00    1.0497850350e+00    3.8262909054e-01   -2.6698787425e-03
      37    3.7000000000e-04    3.0000000000e+00    1.7608496602e+00    1.0658193064e+00    3.9884339098e-01   -2.6364900847e-03
      38    3.8000000000e-04    3.0000000000e+00    1.7762598408e+00    1.0815691762e+00    4.1477119919e-01   -2.6037024663e-03
      39    3.9000000000e-04    3.0000000000e+00    1.7913926536e+00    1.0970397529e+00    4.3041763454e-01   -2.5715049922e-03
      40    4.0000000000e-04    3.0000000000e+00    1.8062531267e+00    1.1122360521e+00    4.4578772414e-01   -2.5398869645e-03
      41    4.1000000000e-04    3.0000000000e+00    1.8208461969e+00    1.1271629990e+00    4.6088640458e-01   -2.5088378789e-03
      42    4.2000000000e-04    3.0000000000e+00    1.8351767120e+00    1.1418254294e+00    4.7571852349e-01   -2.4783474212e-03
      43    4.3000000000e-04    3.0000000000e+00    1.8492494318e+00    1.1562280916e+00    4.9028884121e-01   -2.4484054643e-03
      44    4.4000000000e-04    3.0000000000e+00    1.8630690299e+00    1.1703756480e+00    5.0460203234e-01   -2.4190020640e-03
      45    4.5000000000e-04    3.0000000000e+00    1.8766400954e+00    1.1842726764e+00    5.1866268726e-01   -2.3901274567e-03
      46    4.6000000000e-04    3.0000000000e+00    1.8899671341e+00    1.1979236719e+00    5.3247531373e-01   -2.3617720552e-03
      47    4.7000000000e-04    3.0000000000e+00    1.9030545702e+00    1.2113330482e+00    5.4604433830e-01   -2.3339264464e-03
      48    4.8000000000e-04    3.0000000000e+00    1.9159067479e+00    1.2245051388e+00    5.5937410782e-01   -2.3065813874e-03
      49    4.9000000000e-04    3.0000000000e+00    1.9285279326e+00    1.2374441992e+00    5.7246889089e-01   -2.2797278030e-03
      50    5.0000000000e-04    3.0000000000e+00    1.9409223123e+00    1.2501544075e+00    5.8533287924e-01   -2.2533567824e-03
      51    5.1000000000e-04    3.0000000000e+00    1.9530939992e+00    1.2626398663e+00    5.9797018915e-01   -2.2274595763e-03
      52    5.2000000000e-04    3.0000000000e+00    1.9650470308e+00    1.2749046038e+00    6.1038486278e-01   -2.2020275940e-03
