Circuit: Level 4 - NMOS RC transient

Transient Analysis
No. of Data Rows : 51

--------------------------------------------------------------------------------------------------------------------------------
Index   time                v(vdd)              v(gate)             v(out)              vdd#branch          vg#branch
--------------------------------------------------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    1.0000000000e-05    5.0000000000e+00    2.0000000000e+00    9.9255993129e-03   -9.9801488014e-04    0.0000000000e+00
       2    2.0000000000e-05    5.0000000000e+00    2.0000000000e+00    1.9728861770e-02   -9.9605422765e-04    0.0000000000e+00
       3    3.0000000000e-05    5.0000000000e+00    2.0000000000e+00    2.9412013194e-02   -9.9411759736e-04    0.0000000000e+00
       4    4.0000000000e-05    5.0000000000e+00    2.0000000000e+00    3.8977226187e-02   -9.9220455476e-04    0.0000000000e+00
       5    5.0000000000e-05    5.0000000000e+00    2.0000000000e+00    4.8426621706e-02   -9.9031467566e-04    0.0000000000e+00
       6    6.0000000000e-05    5.0000000000e+00    2.0000000000e+00    5.7762270571e-02   -9.8844754589e-04    0.0000000000e+00
       7    7.0000000000e-05    5.0000000000e+00    2.0000000000e+00    6.6986194934e-02   -9.8660276101e-04    0.0000000000e+00
       8    8.0000000000e-05    5.0000000000e+00    2.0000000000e+00    7.6100369686e-02   -9.8477992606e-04    0.0000000000e+00
       9    9.0000000000e-05    5.0000000000e+00    2.0000000000e+00    8.5106723822e-02   -9.8297865524e-04    0.0000000000e+00
      10    1.0000000000e-04    5.0000000000e+00    2.0000000000e+00    9.4007141760e-02   -9.8119857165e-04    0.0000000000e+00
      11    1.1000000000e-04    5.0000000000e+00    2.0000000000e+00    1.0280346461e-01   -9.7943930708e-04    0.0000000000e+00
      12    1.2000000000e-04    5.0000000000e+00    2.0000000000e+00    1.1149749140e-01   -9.7770050172e-04    0.0000000000e+00
      13    1.3000000000e-04    5.0000000000e+00    2.0000000000e+00    1.2009098026e-01   -9.7598180395e-04    0.0000000000e+00
      14    1.4000000000e-04    5.0000000000e+00    2.0000000000e+00    1.2858564961e-01   -9.7428287008e-04    0.0000000000e+00
      15    1.5000000000e-04    5.0000000000e+00    2.0000000000e+00    1.3698317919e-01   -9.7260336416e-04    0.0000000000e+00
      16    1.6000000000e-04    5.0000000000e+00    2.0000000000e+00    1.4528521120e-01   -9.7094295776e-04    0.0000000000e+00
      17    1.7000000000e-04    5.0000000000e+00    2.0000000000e+00    1.5349335133e-01   -9.6930132973e-04    0.0000000000e+00
      18    1.8000000000e-04    5.0000000000e+00    2.0000000000e+00    1.6160916972e-01   -9.6767816606e-04    0.0000000000e+00
      19    1.9000000000e-04    5.0000000000e+00    2.0000000000e+00    1.6963420198e-01   -9.6607315960e-04    0.0000000000e+00
      20    2.0000000000e-04    5.0000000000e+00    2.0000000000e+00    1.7756995011e-01   -9.6448600998e-04    0.0000000000e+00
      21    2.1000000000e-04    5.0000000000e+00    2.0000000000e+00    1.8541788339e-01   -9.6291642332e-04    0.0000000000e+00
      22    2.2000000000e-04    5.0000000000e+00    2.0000000000e+00    1.9317943930e-01   -9.6136411214e-04    0.0000000000e+00
      23    2.3000000000e-04    5.0000000000e+00    2.0000000000e+00    2.0085602434e-01   -9.5982879513e-04    0.0000000000e+00
      24    2.4000000000e-04    5.0000000000e+00    2.0000000000e+00    2.0844901484e-01   -9.5831019703e-04    0.0000000000e+00
      25    2.5000000000e-04    5.0000000000e+00    2.0000000000e+00    2.1595975783e-01   -9.5680804843e-04    0.0000000000e+00
      26    2.6000000000e-04    5.0000000000e+00    2.0000000000e+00    2.2338957172e-01   -9.5532208566e-04    0.0000000000e+00
      27    2.7000000000e-04    5.0000000000e+00    2.0000000000e+00    2.3073974712e-01   -9.5385205058e-04    0.0000000000e+00
      28    2.8000000000e-04    5.0000000000e+00    2.0000000000e+00    2.3801154754e-01   -9.5239769049e-04    0.0000000000e+00
      29    2.9000000000e-04    5.0000000000e+00    2.0000000000e+00    2.4520621008e-01   -9.5095875798e-04    0.0000000000e+00
      30    3.0000000000e-04    5.0000000000e+00    2.0000000000e+00    2.5232494614e-01   -9.4953501077e-04    0.0000000000e+00
      31    3.1000000000e-04    5.0000000000e+00    2.0000000000e+00    2.5936894206e-01   -9.4812621159e-04    0.0000000000e+00
      32    3.2000000000e-04    5.0000000000e+00    2.0000000000e+00    2.6633935976e-01   -9.4673212805e-04    0.0000000000e+00
      33    3.3000000000e-04    5.0000000000e+00    2.0000000000e+00    2.7323733737e-01   -9.4535253253e-04    0.0000000000e+00
      34    3.4000000000e-04    5.0000000000e+00    2.0000000000e+00    2.8006398985e-01   -9.4398720203e-04    0.0000000000e+00
      35    3.5000000000e-04    5.0000000000e+00    2.0000000000e+00    2.8682040953e-01   -9.4263591809e-04    0.0000000000e+00
      36    3.6000000000e-04    5.0000000000e+00    2.0000000000e+00    2.9350766671e-01   -9.4129846666e-04    0.0000000000e+00
      37    3.7000000000e-04    5.0000000000e+00    2.0000000000e+00    3.0012681020e-01   -9.3997463796e-04    0.0000000000e+00
      38    3.8000000000e-04    5.0000000000e+00    2.0000000000e+00    3.0667886786e-01   -9.3866422643e-04    0.0000000000e+00
      39    3.9000000000e-04    5.0000000000e+00    2.0000000000e+00    3.1316484710e-01   -9.3736703058e-04    0.0000000000e+00
      40    4.0000000000e-04    5.0000000000e+00    2.0000000000e+00    3.1958573542e-01   -9.3608285292e-04    0.0000000000e+00
      41    4.1000000000e-04    5.0000000000e+00    2.0000000000e+00    3.2594250085e-01   -9.3481149983e-04    0.0000000000e+00
      42    4.2000000000e-04    5.0000000000e+00    2.0000000000e+00    3.3223609245e-01   -9.3355278151e-04    0.0000000000e+00
      43    4.3000000000e-04    5.0000000000e+00    2.0000000000e+00    3.3846744077e-01   -9.3230651185e-04    0.0000000000e+00
      44    4.4000000000e-04    5.0000000000e+00    2.0000000000e+00    3.4463745830e-01   -9.3107250834e-04    0.0000000000e+00
      45    4.5000000000e-04    5.0000000000e+00    2.0000000000e+00    3.5074703988e-01   -9.2985059202e-04    0.0000000000e+00
      46    4.6000000000e-04    5.0000000000e+00    2.0000000000e+00    3.5679706317e-01   -9.2864058737e-04    0.0000000000e+00
      47    4.7000000000e-04    5.0000000000e+00    2.0000000000e+00    3.6278838900e-01   -9.2744232220e-04    0.0000000000e+00
      48    4.8000000000e-04    5.0000000000e+00    2.0000000000e+00    3.6872186180e-01   -9.2625562764e-04    0.0000000000e+00
      49    4.9000000000e-04    5.0000000000e+00    2.0000000000e+00    3.7459831000e-01   -9.2508033800e-04    0.0000000000e+00
      50    5.0000000000e-04    5.0000000000e+00    2.0000000000e+00    3.8041854637e-01   -9.2391629073e-04    0.0000000000e+00
