Circuit: Level 4 - BJT two capacitor transient

Transient Analysis
No. of Data Rows : 101

----------------------------------------------------------------------------------------------------------------------------------------------------
Index   time                v(vcc)              v(base)             v(coll)             v(emit)             vcc#branch          vbb#branch
----------------------------------------------------------------------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    1.0000000000e-05    5.0000000000e+00    7.2000000000e-01    4.9060641950e-02    7.6781357475e-04   -2.4754696790e-03   -1.9885448854e-05
       2    2.0000000000e-05    5.0000000000e+00    7.2000000000e-01    9.6209721783e-02    1.8252725886e-03   -2.4518951391e-03   -4.1754273012e-06
       3    3.0000000000e-05    5.0000000000e+00    7.2000000000e-01    1.4274735466e-01    2.8474382713e-03   -2.4286263227e-03   -1.6141361974e-06
       4    4.0000000000e-05    5.0000000000e+00    7.2000000000e-01    1.8886756761e-01    3.7924326149e-03   -2.4055662162e-03   -1.1595475153e-06
       5    5.0000000000e-05    5.0000000000e+00    7.2000000000e-01    2.3459708979e-01    4.6605304557e-03   -2.3827014551e-03   -1.0546078233e-06
       6    6.0000000000e-05    5.0000000000e+00    7.2000000000e-01    2.7993682036e-01    5.4579363672e-03   -2.3600315898e-03   -1.0112090718e-06
       7    7.0000000000e-05    5.0000000000e+00    7.2000000000e-01    3.2488436761e-01    6.1910982067e-03   -2.3375578162e-03   -9.8096704790e-07
       8    8.0000000000e-05    5.0000000000e+00    7.2000000000e-01    3.6943758574e-01    6.8658837210e-03   -2.3152812071e-03   -9.5534774461e-07
       9    9.0000000000e-05    5.0000000000e+00    7.2000000000e-01    4.1359503077e-01    7.4875332810e-03   -2.2932024846e-03   -9.3258738361e-07
      10    1.0000000000e-04    5.0000000000e+00    7.2000000000e-01    4.5735592938e-01    8.0607256146e-03   -2.2713220353e-03   -9.1212636622e-07
      11    1.1000000000e-04    5.0000000000e+00    7.2000000000e-01    5.0072008571e-01    8.5896498984e-03   -2.2496399571e-03   -8.9365207001e-07
      12    1.2000000000e-04    5.0000000000e+00    7.2000000000e-01    5.4368779339e-01    9.0780688499e-03   -2.2281561033e-03   -8.7692648394e-07
      13    1.3000000000e-04    5.0000000000e+00    7.2000000000e-01    5.8625976092e-01    9.5293721865e-03   -2.2068701195e-03   -8.6175055865e-07
      14    1.4000000000e-04    5.0000000000e+00    7.2000000000e-01    6.2843704947e-01    9.9466218773e-03   -2.1857814753e-03   -8.4795355516e-07
      15    1.5000000000e-04    5.0000000000e+00    7.2000000000e-01    6.7022102079e-01    1.0332590636e-02   -2.1648894896e-03   -8.3538766525e-07
      16    1.6000000000e-04    5.0000000000e+00    7.2000000000e-01    7.1161329351e-01    1.0689794851e-02   -2.1441933532e-03   -8.2392423046e-07
      17    1.7000000000e-04    5.0000000000e+00    7.2000000000e-01    7.5261570621e-01    1.1020522918e-02   -2.1236921469e-03   -8.1345076297e-07
      18    1.8000000000e-04    5.0000000000e+00    7.2000000000e-01    7.9323028604e-01    1.1326859741e-02   -2.1033848570e-03   -8.0386851848e-07
      19    1.9000000000e-04    5.0000000000e+00    7.2000000000e-01    8.3345922202e-01    1.1610708029e-02   -2.0832703890e-03   -7.9509049426e-07
      20    2.0000000000e-04    5.0000000000e+00    7.2000000000e-01    8.7330484208e-01    1.1873806885e-02   -2.0633475790e-03   -7.8703976628e-07
      21    2.1000000000e-04    5.0000000000e+00    7.2000000000e-01    9.1276959338e-01    1.2117748110e-02   -2.0436152033e-03   -7.7964809998e-07
      22    2.2000000000e-04    5.0000000000e+00    7.2000000000e-01    9.5185602522e-01    1.2343990555e-02   -2.0240719874e-03   -7.7285478389e-07
      23    2.3000000000e-04    5.0000000000e+00    7.2000000000e-01    9.9056677433e-01    1.2553872799e-02   -2.0047166128e-03   -7.6660564542e-07
      24    2.4000000000e-04    5.0000000000e+00    7.2000000000e-01    1.0289045520e+00    1.2748624394e-02   -1.9855477240e-03   -7.6085221671e-07
      25    2.5000000000e-04    5.0000000000e+00    7.2000000000e-01    1.0668721328e+00    1.2929375865e-02   -1.9665639336e-03   -7.5555102463e-07
      26    2.6000000000e-04    5.0000000000e+00    7.2000000000e-01    1.1044723449e+00    1.3097167634e-02   -1.9477638276e-03   -7.5066298378e-07
      27    2.7000000000e-04    5.0000000000e+00    7.2000000000e-01    1.1417080613e+00    1.3252958005e-02   -1.9291459694e-03   -7.4615287566e-07
      28    2.8000000000e-04    5.0000000000e+00    7.2000000000e-01    1.1785821923e+00    1.3397630324e-02   -1.9107089038e-03   -7.4198890000e-07
      29    2.9000000000e-04    5.0000000000e+00    7.2000000000e-01    1.2150976790e+00    1.3531999426e-02   -1.8924511605e-03   -7.3814228691e-07
      30    3.0000000000e-04    5.0000000000e+00    7.2000000000e-01    1.2512574868e+00    1.3656817436e-02   -1.8743712566e-03   -7.3458696035e-07
      31    3.1000000000e-04    5.0000000000e+00    7.2000000000e-01    1.2870646010e+00    1.3772779018e-02   -1.8564676995e-03   -7.3129924529e-07
      32    3.2000000000e-04    5.0000000000e+00    7.2000000000e-01    1.3225220213e+00    1.3880526122e-02   -1.8387389893e-03   -7.2825761196e-07
      33    3.3000000000e-04    5.0000000000e+00    7.2000000000e-01    1.3576327584e+00    1.3980652290e-02   -1.8211836208e-03   -7.2544245186e-07
      34    3.4000000000e-04    5.0000000000e+00    7.2000000000e-01    1.3923998298e+00    1.4073706566e-02   -1.8038000851e-03   -7.2283588100e-07
      35    3.5000000000e-04    5.0000000000e+00    7.2000000000e-01    1.4268262566e+00    1.4160197059e-02   -1.7865868717e-03   -7.2042156656e-07
      36    3.6000000000e-04    5.0000000000e+00    7.2000000000e-01    1.4609150607e+00    1.4240594182e-02   -1.7695424696e-03   -7.1818457385e-07
      37    3.7000000000e-04    5.0000000000e+00    7.2000000000e-01    1.4946692623e+00    1.4315333616e-02   -1.7526653688e-03   -7.1611123062e-07
      38    3.8000000000e-04    5.0000000000e+00    7.2000000000e-01    1.5280918772e+00    1.4384819012e-02   -1.7359540614e-03   -7.1418900677e-07
