Circuit: Level 4 - CMOS diode RLC mixed transient

Transient Analysis
No. of Data Rows : 101

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   time                v(vdd)              v(in)               v(supply)           v(rail)             v(out)              v(sense)            vdd#branch          vin#branch          l1#branch
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       0    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
       1    5.0000000000e-06    5.0000000000e+00    2.2000000000e+00    4.9660219714e+00    4.8674692638e+00    6.6510858672e-03    3.5240045538e-05   -1.6989014279e-03    0.0000000000e+00    1.6989014279e-03
       2    1.0000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9629611258e+00    4.9527489574e+00    1.5600545781e-02    1.5408651184e-04   -1.8519437079e-03    0.0000000000e+00    1.8519437079e-03
       3    1.5000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626412773e+00    4.9615976826e+00    2.4691167828e-02    3.6195100165e-04   -1.8679361352e-03    0.0000000000e+00    1.8679361352e-03
       4    2.0000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626121531e+00    4.9625524709e+00    3.3708335506e-02    6.5771486872e-04   -1.8693923445e-03    0.0000000000e+00    1.8693923445e-03
       5    2.5000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626142552e+00    4.9626599981e+00    4.2630702970e-02    1.0396088939e-03   -1.8692872375e-03    0.0000000000e+00    1.8692872375e-03
       6    3.0000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626196654e+00    4.9626762078e+00    5.1457567050e-02    1.5058263331e-03   -1.8690167287e-03    0.0000000000e+00    1.8690167287e-03
       7    3.5000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626253767e+00    4.9626825335e+00    6.0190413851e-02    2.0545881235e-03   -1.8687311655e-03    0.0000000000e+00    1.8687311655e-03
       8    4.0000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626310661e+00    4.9626877504e+00    6.8830932395e-02    2.6841492620e-03   -1.8684466945e-03    0.0000000000e+00    1.8684466945e-03
       9    4.5000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626366999e+00    4.9626928043e+00    7.7380801397e-02    3.3927988608e-03   -1.8681650054e-03    0.0000000000e+00    1.8681650054e-03
      10    5.0000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626422754e+00    4.9626977980e+00    8.5841667062e-02    4.1788595351e-03   -1.8678862318e-03    0.0000000000e+00    1.8678862318e-03
      11    5.5000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626477932e+00    4.9627027432e+00    9.4215141442e-02    5.0406867337e-03   -1.8676103406e-03    0.0000000000e+00    1.8676103406e-03
      12    6.0000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626532544e+00    4.9627076419e+00    1.0250280298e-01    5.9766680756e-03   -1.8673372819e-03    0.0000000000e+00    1.8673372819e-03
      13    6.5000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626586599e+00    4.9627124952e+00    1.1070619730e-01    6.9852227005e-03   -1.8670670050e-03    0.0000000000e+00    1.8670670050e-03
      14    7.0000000000e-05    5.0000000000e+00    2.2000000000e+00    4.9626640108e+00    4.9627173037e+00    1.1882683792e-01    8.0648006344e-03   -1.8667994597e-03    0.0000000000e+00    1.8667994597e-03
